id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
9bd14189-b385-499e-9934-83c87238591a,globalutilityfrontierexploration,33559,True,960,32.28,77.96,837,1,0.872,224,0,0,0,0,0,0,0,0
52ead6ae-30b6-4c7b-86ee-eda9467adc6d,frontier,33559,True,741,28.17,77.96,669,1,0.903,153,0,0,0,0,0,0,0,0
94d88b8d-3137-4eac-96f5-61fa69bf45f1,globalutilityfrontierexploration,126,False,1000,30.62,77.58,815,0,0.815,241,0,0,0,0,0,0,0,0
1a551968-8de8-46b4-8c94-1a736396d274,frontier,126,True,669,25.7,77.58,623,1,0.931,157,0,0,0,0,0,0,0,0
7854a5b3-6b2c-470e-ae2f-0f36e26de410,globalutilityfrontierexploration,65360,False,1000,28.85,79.67,781,0,0.781,247,0,0,0,0,0,0,0,0
b4ff2ef6-53cd-4ab7-a0d8-9608d368b1ca,frontier,65360,False,1000,29.97,79.67,806,0,0.806,238,0,0,0,0,0,0,0,0
697f0476-4611-405f-87ed-a9f499f574af,globalutilityfrontierexploration,9458,True,19,1.28,79.07,20,1,1.053,4,0,0,0,0,0,0,0,0
57a83546-4b42-4b7c-bbd8-82af474b32e5,frontier,9458,True,11,0.99,79.07,12,1,1.091,3,0,0,0,0,0,0,0,0
d3e08176-e88d-403b-8f4c-d0deb0310d08,globalutilityfrontierexploration,86519,True,766,25.82,79.18,656,1,0.856,172,0,0,0,0,0,0,0,0
5d6c862b-e0fb-419e-b164-40e20ed8a758,frontier,86519,True,726,26.55,79.18,652,1,0.898,166,0,0,0,0,0,0,0,0
628b17d7-a8e0-4245-9b25-e655a0d717b5,globalutilityfrontierexploration,67120,True,809,27.35,78.09,685,1,0.847,192,0,0,0,0,0,0,0,0
42628179-792b-4b6e-b12c-028032c6d45b,frontier,67120,True,200,8.99,78.09,196,1,0.98,40,0,0,0,0,0,0,0,0
597a5c69-1dbb-43dd-b883-21279f57bc1f,globalutilityfrontierexploration,93752,True,629,18.14,77.27,503,1,0.8,148,0,0,0,0,0,0,0,0
bb37bb08-31e2-43e9-9feb-4a5a93c2f8d7,frontier,93752,True,954,34.6,77.27,869,1,0.911,226,0,0,0,0,0,0,0,0
c96c60f1-d3f1-4308-906f-8ae4b39c9574,globalutilityfrontierexploration,71543,True,147,6.7,77.85,138,1,0.939,39,0,0,0,0,0,0,0,0
85bba85e-df74-4c1b-8f9d-29fd9c88754b,frontier,71543,True,259,11.24,77.85,249,1,0.961,56,0,0,0,0,0,0,0,0
d7ae0735-9c5c-4ae6-93ca-1682e9afdffd,globalutilityfrontierexploration,22733,True,225,9.54,78.52,201,1,0.893,45,0,0,0,0,0,0,0,0
45d99b4f-b449-4c36-8159-61680b0621ed,frontier,22733,False,1000,30.76,78.52,816,0,0.816,245,0,0,0,0,0,0,0,0
183287c4-2f2b-4814-a290-2fcae88f2886,globalutilityfrontierexploration,95203,True,219,10.15,79.9,211,1,0.963,49,0,0,0,0,0,0,0,0
